Plot,Edad,Sp,AB
4,14,ACFA,0
4,15,ACFA,0
4,16,ACFA,0
4,17,ACFA,0
4,18,ACFA,0
4,19,ACFA,0
6,18,ACFA,0.034636059
6,19,ACFA,0.054742252
6,20,ACFA,0.073061664
6,21,ACFA,0.092539539
6,22,ACFA,0.038013271
6,23,ACFA,0.03630503
6,24,ACFA,0
6,25,ACFA,0
6,26,ACFA,0
6,27,ACFA,0
8,2,ACFA,0
8,3,ACFA,0
8,4,ACFA,0
8,5,ACFA,0
8,6,ACFA,0
8,7,ACFA,0
8,8,ACFA,0
8,9,ACFA,0
8,10,ACFA,0
9,36,ACFA,0
9,37,ACFA,0
9,38,ACFA,0
9,39,ACFA,0
9,40,ACFA,0
9,41,ACFA,0
9,42,ACFA,0
9,43,ACFA,0
9,44,ACFA,0
9,45,ACFA,0
9,46,ACFA,0
10,5,ACFA,0
10,6,ACFA,0
10,7,ACFA,0
10,8,ACFA,0
10,9,ACFA,0
10,10,ACFA,0
10,11,ACFA,0
10,12,ACFA,0
10,13,ACFA,0
10,14,ACFA,0
11,3,ACFA,0
11,4,ACFA,0
11,5,ACFA,0
11,6,ACFA,0
11,7,ACFA,0
11,8,ACFA,0
11,9,ACFA,0
11,10,ACFA,0
12,9,ACFA,0
12,10,ACFA,0
12,11,ACFA,0
12,12,ACFA,0
12,13,ACFA,0
12,14,ACFA,0
12,15,ACFA,0
12,16,ACFA,0
12,17,ACFA,0
12,18,ACFA,0
12,19,ACFA,0
13,16,ACFA,0.898519257
13,17,ACFA,1.12577991
13,18,ACFA,0.387240564
13,19,ACFA,0.428493603
13,20,ACFA,0.263540354
13,21,ACFA,0.172237817
13,22,ACFA,0.236385212
13,23,ACFA,0.207914529
13,24,ACFA,0.163951867
13,25,ACFA,0.035342917
14,2,ACFA,0
14,3,ACFA,0
14,4,ACFA,0
14,5,ACFA,0
14,6,ACFA,0
14,7,ACFA,0
14,8,ACFA,0
14,9,ACFA,0
14,10,ACFA,0
15,7,ACFA,0
15,8,ACFA,0
15,9,ACFA,0
15,10,ACFA,0
15,11,ACFA,0
15,12,ACFA,0
15,13,ACFA,0
15,14,ACFA,0
15,15,ACFA,0
15,16,ACFA,0
16,62,ACFA,0
16,63,ACFA,0
16,64,ACFA,0
16,65,ACFA,0
16,66,ACFA,0
16,67,ACFA,0
16,68,ACFA,0
16,69,ACFA,0
16,70,ACFA,0
17,56,ACFA,0
17,57,ACFA,0
17,58,ACFA,0
17,59,ACFA,0
17,60,ACFA,0
17,61,ACFA,0
17,62,ACFA,0
17,63,ACFA,0
1,30,ACPI,0.078304197
1,31,ACPI,0.090517138
1,32,ACPI,0.129708507
1,33,ACPI,0.16658295
1,34,ACPI,0.197331289
1,35,ACPI,0.229650423
1,36,ACPI,0.169767936
1,37,ACPI,0.206284828
1,38,ACPI,0.253565797
1,39,ACPI,0.297273205
2,23,ACPI,0.066130525
2,24,ACPI,0.096525434
2,25,ACPI,0.244415908
2,26,ACPI,0.25674666
2,27,ACPI,0.226292846
2,28,ACPI,0.422269323
2,29,ACPI,0.355785368
2,30,ACPI,0.426058869
2,31,ACPI,1.173541936
2,32,ACPI,1.324574003
2,33,ACPI,1.695988794
3,40,ACPI,0.074264305
3,41,ACPI,0.088141309
3,42,ACPI,0.103206227
3,43,ACPI,0.101787602
3,44,ACPI,0.107521009
3,45,ACPI,0.125663706
3,46,ACPI,0.128824934
3,47,ACPI,0.135265199
3,48,ACPI,0.176302253
3,49,ACPI,0.195623048
3,50,ACPI,0.198980625
4,10,ACPI,0
4,11,ACPI,0
4,12,ACPI,0
4,13,ACPI,0
4,14,ACPI,0
4,15,ACPI,0
4,16,ACPI,0
4,17,ACPI,0
4,18,ACPI,0
4,19,ACPI,0
6,18,ACPI,0
6,19,ACPI,0
6,20,ACPI,0
6,21,ACPI,0
6,22,ACPI,0
6,23,ACPI,0
6,24,ACPI,0
6,25,ACPI,0
6,26,ACPI,0
6,27,ACPI,0
8,2,ACPI,0
8,3,ACPI,0
8,4,ACPI,0
8,5,ACPI,0
8,6,ACPI,0
8,7,ACPI,0
8,8,ACPI,0
8,9,ACPI,0
8,10,ACPI,0
9,36,ACPI,0
9,37,ACPI,0
9,38,ACPI,0
9,39,ACPI,0
9,40,ACPI,0
9,41,ACPI,0
9,42,ACPI,0
9,43,ACPI,0
9,44,ACPI,0
9,45,ACPI,0
9,46,ACPI,0
10,5,ACPI,0
10,6,ACPI,0
10,7,ACPI,0
10,8,ACPI,0
10,9,ACPI,0
10,10,ACPI,0
10,11,ACPI,0
10,12,ACPI,0
10,13,ACPI,0
10,14,ACPI,0
11,3,ACPI,0
11,4,ACPI,0
11,5,ACPI,0
11,6,ACPI,0
11,7,ACPI,0
11,8,ACPI,0
11,9,ACPI,0
11,10,ACPI,0
12,9,ACPI,0
12,10,ACPI,0
12,11,ACPI,0
12,12,ACPI,0.009503318
12,13,ACPI,0.013273229
12,14,ACPI,0.013273229
12,15,ACPI,0.036983614
12,16,ACPI,0.041547563
12,17,ACPI,0.030787608
12,18,ACPI,0.050893801
12,19,ACPI,0.05972953
13,16,ACPI,0.117230493
13,17,ACPI,0.135324104
13,18,ACPI,0.129197998
13,19,ACPI,0.186492794
13,20,ACPI,0.159003858
13,21,ACPI,0.220598709
13,22,ACPI,0.254547545
13,23,ACPI,0.270235873
13,24,ACPI,0.270137698
13,25,ACPI,0.353645158
14,2,ACPI,0
14,3,ACPI,0
14,4,ACPI,0
14,5,ACPI,0
14,6,ACPI,0
14,7,ACPI,0
14,8,ACPI,0
14,9,ACPI,0
14,10,ACPI,0
15,7,ACPI,0
15,8,ACPI,0
15,9,ACPI,0
15,10,ACPI,0
15,11,ACPI,0
15,12,ACPI,0
15,13,ACPI,0
15,14,ACPI,0
15,15,ACPI,0
15,16,ACPI,0
16,62,ACPI,0
16,63,ACPI,0
16,64,ACPI,0
16,65,ACPI,0
16,66,ACPI,0
16,67,ACPI,0
16,68,ACPI,0
16,69,ACPI,0
16,70,ACPI,0
17,56,ACPI,0
17,57,ACPI,0
17,58,ACPI,0
17,59,ACPI,0
17,60,ACPI,0
17,61,ACPI,0
17,62,ACPI,0
17,63,ACPI,0
1,30,AECO,0
1,31,AECO,0
1,32,AECO,0
1,33,AECO,0
1,34,AECO,0
1,35,AECO,0.020813051
1,36,AECO,0.038306225
1,37,AECO,0.063224552
1,38,AECO,0.073591808
1,39,AECO,0.044373425
2,23,AECO,0
2,24,AECO,0
2,25,AECO,0
2,26,AECO,0
2,27,AECO,0
2,28,AECO,0
2,29,AECO,0
2,30,AECO,0
2,31,AECO,0
2,32,AECO,0
2,33,AECO,0
3,40,AECO,0.148145729
3,41,AECO,0.195112539
3,42,AECO,0.262833495
3,43,AECO,0.300827132
3,44,AECO,0.305127186
3,45,AECO,0.232477856
3,46,AECO,0.255526151
3,47,AECO,0.327640625
3,48,AECO,0.23935009
3,49,AECO,0.274103959
3,50,AECO,0.127705741
4,10,AECO,0
4,11,AECO,0
4,12,AECO,0.024543693
4,13,AECO,0.024543693
4,14,AECO,0
4,15,AECO,0.026546458
4,16,AECO,0.024543693
4,17,AECO,0.028747362
4,18,AECO,0.024543693
4,19,AECO,0
6,18,AECO,0
6,19,AECO,0
6,20,AECO,0
6,21,AECO,0
6,22,AECO,0
6,23,AECO,0
6,24,AECO,0
6,25,AECO,0
6,26,AECO,0
6,27,AECO,0
8,2,AECO,0
8,3,AECO,0
8,4,AECO,0
8,5,AECO,0
8,6,AECO,0
8,7,AECO,0
8,8,AECO,0
8,9,AECO,0.075948002
8,10,AECO,0.097860611
9,36,AECO,0
9,37,AECO,0
9,38,AECO,0
9,39,AECO,0
9,40,AECO,0
9,41,AECO,0
9,42,AECO,0
9,43,AECO,0
9,44,AECO,0
9,45,AECO,0
9,46,AECO,0
10,5,AECO,0
10,6,AECO,0
10,7,AECO,0
10,8,AECO,0
10,9,AECO,0
10,10,AECO,0
10,11,AECO,0
10,12,AECO,0
10,13,AECO,0
10,14,AECO,0
11,3,AECO,0
11,4,AECO,0
11,5,AECO,0
11,6,AECO,0
11,7,AECO,0
11,8,AECO,0
11,9,AECO,0
11,10,AECO,0
12,9,AECO,0
12,10,AECO,0
12,11,AECO,0.015393804
12,12,AECO,0.013273229
12,13,AECO,0.018942304
12,14,AECO,0.045710173
12,15,AECO,0.044101678
12,16,AECO,0.045251501
12,17,AECO,0.044610616
12,18,AECO,0.047056565
12,19,AECO,0.090870568
13,16,AECO,0.04716316
13,17,AECO,0.053171456
13,18,AECO,0.062723861
13,19,AECO,0.066051986
13,20,AECO,0.078422007
13,21,AECO,0.086874854
13,22,AECO,0.090870568
13,23,AECO,0.093501651
13,24,AECO,0.0856084
13,25,AECO,0.225291463
14,2,AECO,0
14,3,AECO,0
14,4,AECO,0
14,5,AECO,0
14,6,AECO,0
14,7,AECO,0
14,8,AECO,0
14,9,AECO,0
14,10,AECO,0.046024332
15,7,AECO,0
15,8,AECO,0
15,9,AECO,0
15,10,AECO,0
15,11,AECO,0
15,12,AECO,0
15,13,AECO,0
15,14,AECO,0
15,15,AECO,0
15,16,AECO,0
16,62,AECO,0.143884944
16,63,AECO,0.179188591
16,64,AECO,0.202554186
16,65,AECO,0.175124155
16,66,AECO,0.146289833
16,67,AECO,0.069276045
16,68,AECO,0.053564155
16,69,AECO,0.077879736
16,70,AECO,0.055620327
17,56,AECO,0.081524329
17,57,AECO,0.081524329
17,58,AECO,0.078915276
17,59,AECO,0.034876988
17,60,AECO,0.033901712
17,61,AECO,0.022698007
17,62,AECO,0
17,63,AECO,0
1,30,AMAD,0
1,31,AMAD,0
1,32,AMAD,0
1,33,AMAD,0
1,34,AMAD,0
1,35,AMAD,0
1,36,AMAD,0
1,37,AMAD,0
1,38,AMAD,0
1,39,AMAD,0
2,23,AMAD,0
2,24,AMAD,0
2,25,AMAD,0
2,26,AMAD,0
2,27,AMAD,0
2,28,AMAD,0
2,29,AMAD,0
2,30,AMAD,0
2,31,AMAD,0
2,32,AMAD,0
2,33,AMAD,0
3,40,AMAD,0.338948395
3,41,AMAD,0.347813577
3,42,AMAD,0.29464703
3,43,AMAD,0.292246657
3,44,AMAD,0.34211944
3,45,AMAD,0.404327883
3,46,AMAD,0.447696588
3,47,AMAD,0.477836243
3,48,AMAD,0.567450173
3,49,AMAD,0.567450173
3,50,AMAD,0.601320469
4,10,AMAD,0
4,11,AMAD,0
4,12,AMAD,0
4,13,AMAD,0
4,14,AMAD,0
4,15,AMAD,0
4,16,AMAD,0
4,17,AMAD,0
4,18,AMAD,0
4,19,AMAD,0
6,18,AMAD,0
6,19,AMAD,0
6,20,AMAD,0
6,21,AMAD,0
6,22,AMAD,0
6,23,AMAD,0
6,24,AMAD,0
6,25,AMAD,0
6,26,AMAD,0
6,27,AMAD,0
8,2,AMAD,0
8,3,AMAD,0
8,4,AMAD,0
8,5,AMAD,0
8,6,AMAD,0
8,7,AMAD,0
8,8,AMAD,0
8,9,AMAD,0
8,10,AMAD,0
9,36,AMAD,0.155631555
9,37,AMAD,0.140311382
9,38,AMAD,0.147831569
9,39,AMAD,0.139270729
9,40,AMAD,0.157177807
9,41,AMAD,0.154963966
9,42,AMAD,0.157560689
9,43,AMAD,0.174554349
9,44,AMAD,0.2095835
9,45,AMAD,0.205833224
9,46,AMAD,0.200040912
10,5,AMAD,0
10,6,AMAD,0
10,7,AMAD,0
10,8,AMAD,0
10,9,AMAD,0
10,10,AMAD,0
10,11,AMAD,0.008494867
10,12,AMAD,0.028667033
10,13,AMAD,0.066130525
10,14,AMAD,0.083644904
11,3,AMAD,0
11,4,AMAD,0
11,5,AMAD,0
11,6,AMAD,0
11,7,AMAD,0
11,8,AMAD,0
11,9,AMAD,0
11,10,AMAD,0
12,9,AMAD,0.026546458
12,10,AMAD,0.033025993
12,11,AMAD,0.050893801
12,12,AMAD,0.078304197
12,13,AMAD,0.129787047
12,14,AMAD,0.215709606
12,15,AMAD,0.234744515
12,16,AMAD,0.346270662
12,17,AMAD,0.334991952
12,18,AMAD,0.314277075
12,19,AMAD,0.335090126
13,16,AMAD,0
13,17,AMAD,0
13,18,AMAD,0
13,19,AMAD,0
13,20,AMAD,0
13,21,AMAD,0
13,22,AMAD,0
13,23,AMAD,0
13,24,AMAD,0
13,25,AMAD,0
14,2,AMAD,0
14,3,AMAD,0
14,4,AMAD,0
14,5,AMAD,0
14,6,AMAD,0
14,7,AMAD,0
14,8,AMAD,0
14,9,AMAD,0
14,10,AMAD,0
15,7,AMAD,0
15,8,AMAD,0
15,9,AMAD,0
15,10,AMAD,0
15,11,AMAD,0
15,12,AMAD,0
15,13,AMAD,0
15,14,AMAD,0
15,15,AMAD,0
15,16,AMAD,0
16,62,AMAD,0
16,63,AMAD,0
16,64,AMAD,0
16,65,AMAD,0
16,66,AMAD,0
16,67,AMAD,0
16,68,AMAD,0
16,69,AMAD,0
16,70,AMAD,0
17,56,AMAD,1.052477718
17,57,AMAD,1.004823684
17,58,AMAD,0.86615673
17,59,AMAD,1.216365771
17,60,AMAD,1.231347241
17,61,AMAD,1.344208957
17,62,AMAD,1.434470841
17,63,AMAD,1.422159724
1,30,APPA,0
1,31,APPA,0
1,32,APPA,0
1,33,APPA,0
1,34,APPA,0
1,35,APPA,0
1,36,APPA,0
1,37,APPA,0
1,38,APPA,0
1,39,APPA,0
2,23,APPA,0
2,24,APPA,0
2,25,APPA,0
2,26,APPA,0
2,27,APPA,0
2,28,APPA,0
2,29,APPA,0
2,30,APPA,0
2,31,APPA,0
2,32,APPA,0
2,33,APPA,0
3,40,APPA,0.135383008
3,41,APPA,0.135441913
3,42,APPA,0.1528483
3,43,APPA,0.159003858
3,44,APPA,0.205695779
3,45,APPA,0.199255514
3,46,APPA,0.228747215
3,47,APPA,0.237425865
3,48,APPA,0.38476656
3,49,APPA,0.244376639
3,50,APPA,0.337249971
4,10,APPA,0
4,11,APPA,0
4,12,APPA,0
4,13,APPA,0
4,14,APPA,0
4,15,APPA,0
4,16,APPA,0
4,17,APPA,0
4,18,APPA,0
4,19,APPA,0
6,18,APPA,0
6,19,APPA,0
6,20,APPA,0.025535258
6,21,APPA,0.030787608
6,22,APPA,0.037738382
6,23,APPA,0.066012716
6,24,APPA,0.087858173
6,25,APPA,0.055154586
6,26,APPA,0.057255526
6,27,APPA,0.063793966
8,2,APPA,0
8,3,APPA,0
8,4,APPA,0
8,5,APPA,0
8,6,APPA,0
8,7,APPA,0
8,8,APPA,0
8,9,APPA,0
8,10,APPA,0
9,36,APPA,0.188574099
9,37,APPA,0.192442185
9,38,APPA,0.208307228
9,39,APPA,0.202284206
9,40,APPA,0.208307228
9,41,APPA,0.259672268
9,42,APPA,0.250718729
9,43,APPA,0.282743339
9,44,APPA,0.306796158
9,45,APPA,0.321699088
9,46,APPA,0.321699088
10,5,APPA,0
10,6,APPA,0
10,7,APPA,0
10,8,APPA,0
10,9,APPA,0
10,10,APPA,0
10,11,APPA,0
10,12,APPA,0
10,13,APPA,0
10,14,APPA,0
11,3,APPA,0
11,4,APPA,0
11,5,APPA,0
11,6,APPA,0
11,7,APPA,0
11,8,APPA,0
11,9,APPA,0
11,10,APPA,0
12,9,APPA,0
12,10,APPA,0
12,11,APPA,0
12,12,APPA,0
12,13,APPA,0
12,14,APPA,0
12,15,APPA,0
12,16,APPA,0
12,17,APPA,0
12,18,APPA,0
12,19,APPA,0
13,16,APPA,0
13,17,APPA,0
13,18,APPA,0
13,19,APPA,0
13,20,APPA,0
13,21,APPA,0
13,22,APPA,0
13,23,APPA,0
13,24,APPA,0
13,25,APPA,0
14,2,APPA,0
14,3,APPA,0
14,4,APPA,0
14,5,APPA,0
14,6,APPA,0
14,7,APPA,0
14,8,APPA,0
14,9,APPA,0
14,10,APPA,0
15,7,APPA,0
15,8,APPA,0
15,9,APPA,0
15,10,APPA,0
15,11,APPA,0
15,12,APPA,0
15,13,APPA,0
15,14,APPA,0
15,15,APPA,0
15,16,APPA,0
16,62,APPA,1.041305429
16,63,APPA,1.039739541
16,64,APPA,1.115540281
16,65,APPA,1.168083419
16,66,APPA,1.19963679
16,67,APPA,1.293656018
16,68,APPA,1.610105505
16,69,APPA,1.524281121
16,70,APPA,1.533529184
17,56,APPA,0.236110323
17,57,APPA,0.230062757
17,58,APPA,0.233907819
17,59,APPA,0.276244169
17,60,APPA,0.270569667
17,61,APPA,0.318439685
17,62,APPA,0.333794219
17,63,APPA,0.343572427
1,30,ARPU,0
1,31,ARPU,0
1,32,ARPU,0
1,33,ARPU,0
1,34,ARPU,0
1,35,ARPU,0
1,36,ARPU,0
1,37,ARPU,0
1,38,ARPU,0
1,39,ARPU,0
2,23,ARPU,0
2,24,ARPU,0
2,25,ARPU,0
2,26,ARPU,0
2,27,ARPU,0
2,28,ARPU,0
2,29,ARPU,0
2,30,ARPU,0
2,31,ARPU,0
2,32,ARPU,0
2,33,ARPU,0
3,40,ARPU,0
3,41,ARPU,0
3,42,ARPU,0
3,43,ARPU,0
3,44,ARPU,0
3,45,ARPU,0
3,46,ARPU,0
3,47,ARPU,0
3,48,ARPU,0
3,49,ARPU,0
3,50,ARPU,0
4,10,ARPU,0
4,11,ARPU,0
4,12,ARPU,0
4,13,ARPU,0
4,14,ARPU,0
4,15,ARPU,0
4,16,ARPU,0
4,17,ARPU,0
4,18,ARPU,0
4,19,ARPU,0
6,18,ARPU,0
6,19,ARPU,0
6,20,ARPU,0
6,21,ARPU,0
6,22,ARPU,0
6,23,ARPU,0
6,24,ARPU,0
6,25,ARPU,0
6,26,ARPU,0
6,27,ARPU,0
8,2,ARPU,0
8,3,ARPU,0
8,4,ARPU,0
8,5,ARPU,0
8,6,ARPU,0
8,7,ARPU,0
8,8,ARPU,0
8,9,ARPU,0
8,10,ARPU,0
9,36,ARPU,0
9,37,ARPU,0
9,38,ARPU,0
9,39,ARPU,0
9,40,ARPU,0
9,41,ARPU,0
9,42,ARPU,0
9,43,ARPU,0
9,44,ARPU,0
9,45,ARPU,0
9,46,ARPU,0
10,5,ARPU,0
10,6,ARPU,0
10,7,ARPU,0
10,8,ARPU,0
10,9,ARPU,0
10,10,ARPU,0
10,11,ARPU,0.010207035
10,12,ARPU,0.010386891
10,13,ARPU,0.0254469
10,14,ARPU,0.017671459
11,3,ARPU,0
11,4,ARPU,0
11,5,ARPU,0
11,6,ARPU,0
11,7,ARPU,0
11,8,ARPU,0
11,9,ARPU,0
11,10,ARPU,0
12,9,ARPU,0
12,10,ARPU,0
12,11,ARPU,0
12,12,ARPU,0
12,13,ARPU,0
12,14,ARPU,0
12,15,ARPU,0
12,16,ARPU,0
12,17,ARPU,0
12,18,ARPU,0
12,19,ARPU,0
13,16,ARPU,0
13,17,ARPU,0
13,18,ARPU,0
13,19,ARPU,0
13,20,ARPU,0
13,21,ARPU,0
13,22,ARPU,0
13,23,ARPU,0
13,24,ARPU,0
13,25,ARPU,0
14,2,ARPU,0
14,3,ARPU,0
14,4,ARPU,0
14,5,ARPU,0
14,6,ARPU,0
14,7,ARPU,0
14,8,ARPU,0
14,9,ARPU,0
14,10,ARPU,0
15,7,ARPU,0
15,8,ARPU,0
15,9,ARPU,0
15,10,ARPU,0
15,11,ARPU,0
15,12,ARPU,0
15,13,ARPU,0
15,14,ARPU,0
15,15,ARPU,0
15,16,ARPU,0
16,62,ARPU,0
16,63,ARPU,0
16,64,ARPU,0
16,65,ARPU,0
16,66,ARPU,0
16,67,ARPU,0
16,68,ARPU,0
16,69,ARPU,0
16,70,ARPU,0
17,56,ARPU,2.793936746
17,57,ARPU,2.822583555
17,58,ARPU,2.934301774
17,59,ARPU,2.73289549
17,60,ARPU,2.383587215
17,61,ARPU,2.445258446
17,62,ARPU,2.415158257
17,63,ARPU,2.336005563
1,30,ARCO,0
1,31,ARCO,0
1,32,ARCO,0
1,33,ARCO,0
1,34,ARCO,0
1,35,ARCO,0
1,36,ARCO,0
1,37,ARCO,0
1,38,ARCO,0
1,39,ARCO,0
2,23,ARCO,0
2,24,ARCO,0
2,25,ARCO,0
2,26,ARCO,0
2,27,ARCO,0
2,28,ARCO,0
2,29,ARCO,0
2,30,ARCO,0
2,31,ARCO,0
2,32,ARCO,0
2,33,ARCO,0
3,40,ARCO,0
3,41,ARCO,0
3,42,ARCO,0
3,43,ARCO,0
3,44,ARCO,0
3,45,ARCO,0
3,46,ARCO,0
3,47,ARCO,0
3,48,ARCO,0
3,49,ARCO,0
3,50,ARCO,0
4,10,ARCO,0
4,11,ARCO,0
4,12,ARCO,0
4,13,ARCO,0
4,14,ARCO,0
4,15,ARCO,0
4,16,ARCO,0
4,17,ARCO,0
4,18,ARCO,0
4,19,ARCO,0
6,18,ARCO,0
6,19,ARCO,0
6,20,ARCO,0
6,21,ARCO,0
6,22,ARCO,0
6,23,ARCO,0
6,24,ARCO,0
6,25,ARCO,0
6,26,ARCO,0
6,27,ARCO,0
8,2,ARCO,0
8,3,ARCO,0
8,4,ARCO,0
8,5,ARCO,0
8,6,ARCO,0
8,7,ARCO,0
8,8,ARCO,0
8,9,ARCO,0
8,10,ARCO,0
9,36,ARCO,0
9,37,ARCO,0
9,38,ARCO,0
9,39,ARCO,0
9,40,ARCO,0
9,41,ARCO,0
9,42,ARCO,0
9,43,ARCO,0
9,44,ARCO,0
9,45,ARCO,0
9,46,ARCO,0
10,5,ARCO,0
10,6,ARCO,0
10,7,ARCO,0
10,8,ARCO,0
10,9,ARCO,0
10,10,ARCO,0
10,11,ARCO,0
10,12,ARCO,0
10,13,ARCO,0
10,14,ARCO,0
11,3,ARCO,0
11,4,ARCO,0
11,5,ARCO,0
11,6,ARCO,0
11,7,ARCO,0
11,8,ARCO,0
11,9,ARCO,0
11,10,ARCO,0
12,9,ARCO,0
12,10,ARCO,0
12,11,ARCO,0
12,12,ARCO,0
12,13,ARCO,0
12,14,ARCO,0
12,15,ARCO,0
12,16,ARCO,0
12,17,ARCO,0
12,18,ARCO,0
12,19,ARCO,0
13,16,ARCO,0
13,17,ARCO,0
13,18,ARCO,0
13,19,ARCO,0
13,20,ARCO,0
13,21,ARCO,0
13,22,ARCO,0
13,23,ARCO,0
13,24,ARCO,0
13,25,ARCO,0
14,2,ARCO,0
14,3,ARCO,0
14,4,ARCO,0
14,5,ARCO,0
14,6,ARCO,0
14,7,ARCO,0
14,8,ARCO,0
14,9,ARCO,0
14,10,ARCO,0
15,7,ARCO,0
15,8,ARCO,0
15,9,ARCO,0
15,10,ARCO,0
15,11,ARCO,0
15,12,ARCO,0
15,13,ARCO,0
15,14,ARCO,0
15,15,ARCO,0
15,16,ARCO,0
16,62,ARCO,0.198980625
16,63,ARCO,0.225527083
16,64,ARCO,0.138269347
16,65,ARCO,0.104418686
16,66,ARCO,0.11097676
16,67,ARCO,0.189045338
16,68,ARCO,0.154448549
16,69,ARCO,0.051090151
16,70,ARCO,0.055331301
17,56,ARCO,0
17,57,ARCO,0
17,58,ARCO,0
17,59,ARCO,0
17,60,ARCO,0
17,61,ARCO,0
17,62,ARCO,0
17,63,ARCO,0
1,30,BUEX,0
1,31,BUEX,0
1,32,BUEX,0
1,33,BUEX,0
1,34,BUEX,0
1,35,BUEX,0
1,36,BUEX,0
1,37,BUEX,0
1,38,BUEX,0
1,39,BUEX,0
2,23,BUEX,0
2,24,BUEX,0
2,25,BUEX,0.019163715
2,26,BUEX,0.022776547
